"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I460","2019-07-14 00:00:00","110.000","183.000","2.200","27.500","0.830","994.700","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","25.300",""
"C0A9F0","2019-07-14 00:00:00","35.000","324.000","0.300","30.000","0.650","1000.800","-99.000","0.000","-99.000","-99.000","-99.000","36.500","","26.600",""
"C0F9A0","2019-07-14 00:00:00","425.000","2.000","0.600","24.900","0.880","959.200","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","23.900",""
"C0O950","2019-07-14 00:00:00","4.000","0.000","0.200","28.800","0.870","1005.800","-99.000","15.500","-99.000","-99.000","-99.000","32.100","","26.500",""
"C0M760","2019-07-14 00:00:00","40.000","182.000","1.000","28.200","0.820","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","27.300",""
"C0AH70","2019-07-14 00:00:00","34.000","284.000","0.700","29.400","0.690","1001.000","-99.000","0.000","-99.000","-99.000","-99.000","36.500","","26.400",""
"C0V250","2019-07-14 00:00:00","298.000","28.000","0.500","23.200","1.000","975.100","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","22.800",""
"C0U980","2019-07-14 00:00:00","573.000","109.000","0.700","23.100","0.960","943.000","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","21.000",""
"C0S740","2019-07-14 00:00:00","289.000","225.000","1.100","26.100","0.900","974.200","-99.000","0.000","-99.000","-99.000","-99.000","37.800","","22.600",""
"C0A940","2019-07-14 00:00:00","49.000","110.000","0.300","27.000","0.900","999.400","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","24.600",""
"C0A920","2019-07-14 00:00:00","196.000","254.000","3.000","28.300","0.750","982.200","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.200",""
"C0T870","2019-07-14 00:00:00","135.000","0.000","0.100","24.200","0.960","989.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","22.200",""
"C0O930","2019-07-14 00:00:00","69.000","60.000","1.000","25.700","0.980","999.800","-99.000","1.500","-99.000","-99.000","-99.000","33.800","","25.200",""
"C0C460","2019-07-14 00:00:00","482.000","0.000","0.000","23.600","0.880","952.400","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","21.100",""
"C0E520","2019-07-14 00:00:00","320.000","201.000","1.000","26.300","0.770","970.700","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","24.600",""
"C0T9D0","2019-07-14 00:00:00","7.000","0.000","0.000","26.000","0.990","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","24.200",""
